url,short_url,sub_domain,favicon,ip,href_count,state_code,url_length,ssl,page_redirect,meta_data,url_rank
http://alfa3444.net23.net/p/vaidevisa/asp/conta/autentica/autentica.php,1,1,0,2572943460,1,1,46,0,0,1,6382
http://www.reloco.com.ar/mozilla/compat.html,0,1,0,1161649432,30,0,44,1,0,1,6387936
http://tools.ietf.org/html/rfc633,1,1,1,1084908074,12,0,34,0,0,1,12119
http://www.internetclipart.com/contents.htm,1,1,0,2760154740,116,0,37,0,0,1,10000000
http://aspn.activestate.com/ASPN/Python/Modules/,1,1,0,315450467,174,0,33,0,0,1,28269
http://fun-dive.com/gps/?check=1i96280530.html,0,1,0,2734503502,2,1,46,1,0,1,10000000
http://news.cnet.com/8301-13860_3-10317591-56.html,1,1,0,599674706,203,1,45,0,0,1,167
http://hnvc.net.cn/js/?secure.runescape.com/m=weblogin/loginform.ws?mod=www&mwbuxwsamp;ssl=0&dest,0,1,0,3740452451,0,1,97,1,0,0,10000000
http://www.jstatsoft.org/v02/i04/,1,1,0,2330464485,47,0,46,0,0,1,337280
http://www.taperesources.com/dvd_media.html#article2,0,1,0,873185215,0,1,52,1,0,1,10000000
http://www.pageresource.com/dhtml/indexcss.htm,1,1,0,600859778,15,0,24,0,0,1,4346814
http://www.radioconcordia.cl/paypal.com/encripted/,0,1,0,2322961532,0,1,50,1,0,0,10000000
http://www.pencomputing.com/WinCE/,0,1,0,844599854,0,1,34,1,0,0,10000000
http://www.virelai.net/cards/,1,1,0,1079650677,43,0,25,1,0,1,10000000
http://www1.acm.org/sigs/sigada/education/,0,1,0,1745964574,1,1,42,1,0,1,7036
http://www.saha.com/exportusm/,0,1,0,1118779913,10,0,30,1,0,1,9920297
http://system-administrator2.tk/,0,1,0,3272878384,0,1,32,1,1,1,10000000
http://beam.to/2979,0,1,0,3247100958,5,0,19,1,0,1,10000000
http://www.scps.nyu.edu/areas-of-study/finance/continuing-education/,1,1,1,2155520798,66,0,71,0,0,1,2676
http://scsi.radified.com/scsi_01.htm,0,1,0,1079769184,39,0,36,1,0,1,2671145
http://mta.info/mnr/,1,1,-1,1749809868,188,0,23,1,0,1,32759
http://freecode.com/projects/ubee512,1,1,0,3630769674,1,1,49,1,0,1,467
http://www.neatware.com/lbstudio/mcl/,0,1,0,1076395584,0,0,37,1,0,1,4874289
http://www.gameindustry.com/review/item.asp?id=173,1,1,0,3237904474,65,1,51,0,0,1,787525
http://www.atelio.com/ultra-tag-editor/,0,1,0,3107303870,2,0,39,1,0,1,10000000
http://tools.ietf.org/html/rfc629,1,1,1,1084908074,10,0,34,0,0,1,12119
http://users.telenet.be/fishblood/ara/Javacam.htm,0,1,0,3280110677,14,0,49,1,0,1,7551
http://hnvc.net.cn/js/?secure.runescape.com/m=weblogin/loginform.ws?mod=www&mwbuxwsamp;ssl=0&dest,0,1,0,3740452451,0,1,97,1,0,0,10000000
http://www.lighttek.com/talisman.htm,0,1,0,3328824294,61,0,36,1,0,1,10000000
